id,lat,lon,severity,time_of_day_Night,time_of_day_Morning,time_of_day_Afternoon,time_of_day_Evening,month,day_of_week,risk_level_encoded
346118,51.602072,-0.131197,0,0,0,1,0,1,1,1
346119,51.504391,-0.218121,1,0,0,0,1,1,1,0
346120,51.624062,-0.092283,0,0,0,1,0,1,1,1
346121,51.462566,-0.186409,0,0,0,0,1,1,1,2
346122,51.654338,-0.076208,1,0,0,1,0,1,1,1
346123,51.563127,0.117518,1,0,0,1,0,1,1,0
346124,51.428509,-0.01322,1,0,0,0,1,1,1,1
346125,51.654518,-0.201628,0,0,0,1,0,1,4,2
346126,51.522746,-0.19411,1,0,0,0,1,1,1,2
346127,51.594569,-0.169216,0,0,1,0,0,1,1,2
346128,51.525661,0.057003,0,0,0,0,1,1,1,2
346129,51.570635,0.111546,0,0,0,1,0,1,1,0
346130,51.530622,-0.176584,1,0,0,1,0,1,1,2
346131,51.494701,-0.12496,0,0,0,0,1,1,1,2
348461,51.492239,-0.064745,0,0,0,0,1,2,3,2
348462,51.509816,-0.038002,1,0,0,1,0,2,3,2
348463,51.490452,-0.208639,0,1,0,0,0,2,4,0
348464,51.426799,0.014281,1,0,1,0,0,2,4,1
348465,51.398139,-0.047357,1,0,0,1,0,2,4,1
348466,51.421464,-0.207626,1,0,0,0,1,2,3,1
348467,51.450564,0.103022,0,0,0,0,1,2,3,0
348468,51.34093,0.116004,0,0,0,0,1,2,3,1
348469,51.498945,-0.164132,0,0,0,0,1,2,3,1
348470,51.54537,-0.069847,1,0,1,0,0,2,4,2
348471,51.421636,-0.052166,0,0,0,0,1,2,3,1
348472,51.478739,-0.14412,1,0,0,0,1,2,3,2
348473,51.59458,-0.090328,0,0,0,0,1,2,3,1
348474,51.548873,-0.039755,0,0,0,0,1,2,3,2
348475,51.493852,-0.215146,0,0,1,0,0,2,3,0
348476,51.520786,-0.200544,1,1,0,0,0,2,4,2
348477,51.362268,-0.214248,1,0,0,0,1,2,3,0
348478,51.463234,-0.215837,0,0,0,0,1,2,3,2
348479,51.468105,-0.072519,0,0,0,1,0,2,4,2
348480,51.398536,-0.20605,0,0,0,0,1,2,3,1
348481,51.542866,-0.048364,1,0,0,0,1,2,3,2
348482,51.488764,0.00821,0,0,1,0,0,2,3,0
348483,51.595818,-0.109016,0,0,0,1,0,2,3,1
348484,51.436277,-0.127785,0,0,0,0,1,2,2,2
348485,51.417632,-0.185902,0,0,0,1,0,1,5,1
348486,51.49633,-0.325273,0,0,0,1,0,2,4,2
348487,51.534772,-0.137401,0,0,1,0,0,2,4,2
348488,51.522337,-0.105489,0,0,1,0,0,2,4,1
348489,51.463628,-0.015481,0,0,1,0,0,2,4,1
348490,51.426825,-0.190774,1,0,1,0,0,2,4,1
348491,51.53524,0.148191,0,0,1,0,0,2,4,0
348492,51.510883,-0.143895,0,0,0,0,1,2,4,2
348493,51.575189,0.044345,0,0,1,0,0,2,4,0
348494,51.526178,-0.083993,1,0,1,0,0,2,4,2
348495,51.578198,-0.221542,0,0,1,0,0,2,4,2
348496,51.544958,-0.025602,1,0,1,0,0,1,0,2
348497,51.357101,-0.032628,0,0,1,0,0,2,4,2
348498,51.418146,-0.294436,0,0,1,0,0,2,3,0
348499,51.383672,-0.250104,0,0,1,0,0,2,3,0
348500,51.593722,0.037669,0,0,1,0,0,2,4,0
348501,51.474728,-0.343459,0,0,0,0,1,2,3,1
348502,51.425283,-0.130866,0,0,0,1,0,2,4,2
348503,51.486821,-0.179009,0,0,1,0,0,2,4,1
348504,51.51309,-0.140706,0,0,1,0,0,2,4,2
348505,51.380732,-0.155775,0,0,0,1,0,2,3,0
348506,51.383647,-0.190422,0,0,0,1,0,2,4,0
348507,51.555032,-0.192586,0,0,0,1,0,2,4,2
348508,51.556411,-0.005718,1,0,1,0,0,2,4,0
348509,51.453328,0.026244,0,0,1,0,0,2,4,0
348510,51.525375,-0.087646,0,0,0,1,0,2,3,1
348511,51.413224,0.111604,0,1,0,0,0,2,5,0
348512,51.569313,-0.003999,0,0,1,0,0,2,5,0
348513,51.514677,-0.058836,0,1,0,0,0,2,4,2
348514,51.489322,-0.223001,0,0,0,1,0,2,4,0
348515,51.461622,-0.268487,0,0,1,0,0,2,4,0
348516,51.51133,-0.048443,0,0,0,1,0,2,4,2
346132,51.487565,-0.262377,0,0,0,0,1,1,1,1
