id,casualty_age_0-23,casualty_age_24-30,casualty_age_31-38,casualty_age_39-50,casualty_age_50+
346481,0,0,1,0,0
346482,0,1,0,0,0
346483,0,0,1,0,0
346484,0,0,0,0,1
346485,0,0,1,0,0
346486,0,0,0,1,0
346487,0,0,0,1,0
346488,0,0,1,0,1
346489,0,0,0,0,1
346490,1,0,1,0,0
346491,0,0,0,1,0
346492,1,0,0,0,0
346493,0,0,0,0,1
346494,0,0,1,1,0
346495,0,0,0,1,0
346496,0,1,0,0,0
346497,0,0,0,0,1
346498,1,0,0,0,0
346499,0,0,0,1,0
346500,0,0,0,0,1
346501,0,0,0,1,0
346502,0,0,0,0,1
346503,0,0,1,0,0
346504,1,0,0,0,0
346505,0,0,1,1,0
346506,0,0,0,0,1
346507,0,0,1,0,0
346508,0,0,1,0,0
346509,0,0,0,0,1
346510,0,0,0,0,1
346511,1,0,0,0,0
346512,0,0,1,0,0
346513,0,0,1,0,0
346514,0,0,1,0,0
346515,0,0,1,0,0
346516,0,0,1,0,0
346517,0,1,0,0,0
346518,0,0,0,0,1
346519,1,0,0,0,0
346520,0,0,0,1,0
346521,1,0,0,2,0
346522,0,0,0,0,1
346523,0,0,0,1,0
346524,0,1,0,0,0
346525,1,0,0,0,0
346526,0,0,0,1,0
346527,0,0,0,1,0
346528,1,0,0,0,1
346529,0,0,0,1,0
346530,0,0,0,2,0
346531,0,1,1,0,1
346532,1,0,0,0,0
346533,0,1,0,0,0
346534,0,0,0,0,1
346535,1,0,1,0,0
346536,0,0,0,1,0
346537,0,0,1,0,0
346538,0,0,0,1,0
346539,0,0,1,0,0
346540,0,0,0,1,0
346541,1,0,0,0,0
346542,0,1,0,0,0
346543,0,0,0,1,0
346544,0,0,0,0,1
346545,0,0,0,1,0
346546,0,0,0,0,1
346547,0,1,1,0,0
346548,0,0,0,0,1
346549,1,0,0,0,0
346550,0,0,1,0,0
346551,1,0,0,0,0
346552,1,0,0,0,0
346553,0,1,0,0,0
346554,0,0,0,1,0
346555,0,0,0,0,1
346556,0,0,1,0,0
346557,1,0,0,0,0
346558,2,0,0,0,0
346559,0,0,0,0,1
346560,0,0,1,0,0
346561,0,0,1,0,0
346562,0,0,0,0,1
346563,0,0,0,0,0
346564,0,0,1,0,0
346565,0,0,1,0,0
346566,0,0,0,0,0
346567,1,0,0,0,0
346568,0,0,1,0,0
346569,0,0,0,1,0
346570,0,1,0,0,0
346571,0,0,0,1,0
346572,0,0,0,0,1
346573,0,0,0,1,0
346574,0,0,0,0,1
346575,0,0,1,0,0
346576,0,0,0,0,1
346577,0,0,0,1,0
346578,0,0,0,1,0
346579,0,0,0,1,0
346580,0,0,0,0,1
346581,0,0,0,0,1
346582,0,0,1,0,0
346583,1,0,0,0,0
346584,0,0,0,0,1
346585,0,0,0,0,1
346586,0,0,1,0,0
346587,0,2,0,0,0
346588,0,0,1,1,0
346589,0,0,0,1,0
346590,0,0,1,0,0
346591,0,1,0,0,0
346592,0,1,0,0,0
346593,1,0,0,0,0
346594,0,0,0,0,1
346595,1,1,0,0,1
346596,0,0,1,0,0
346597,0,0,1,0,0
346598,0,0,0,1,0
346599,0,0,1,0,0
346600,0,0,1,0,0
346601,0,0,1,0,0
346602,0,1,0,0,0
346603,0,0,1,1,0
346604,0,1,0,0,0
346605,0,0,0,0,1
346606,1,0,0,0,0
346607,0,0,0,0,1
346608,1,0,0,0,0
346609,0,0,0,0,1
346610,0,1,0,0,0
346611,0,1,0,0,0
346612,0,0,0,1,0
346613,0,0,1,0,0
346614,0,0,0,1,0
346615,1,0,0,0,0
346616,0,0,0,1,0
346617,0,0,0,0,1
346618,0,0,0,0,1
346619,0,0,0,1,0
346620,1,0,0,0,0
346621,0,0,1,0,0
346622,0,1,0,0,0
346623,1,0,0,1,0
346624,0,0,0,0,1
346625,0,0,1,0,0
346626,0,0,0,0,1
346627,0,0,0,1,0
346628,0,0,1,0,0
346629,0,0,1,0,0
346630,0,1,0,0,0
346631,1,0,0,0,0
346632,0,0,0,0,1
346633,1,0,0,0,0
346634,0,1,0,0,0
346635,0,0,0,0,1
346636,1,0,0,0,0
346637,0,0,0,2,0
346638,0,0,0,0,1
346639,0,0,1,0,0
346640,0,0,0,1,0
346641,0,0,0,1,0
346642,0,0,1,0,0
346643,1,0,0,0,0
346644,0,0,0,0,1
346645,0,0,1,0,1
346646,0,0,0,1,0
346647,0,1,0,0,0
346648,1,0,0,0,0
346649,1,0,0,0,0
346650,1,0,0,0,0
346651,0,0,1,0,1
346652,1,0,0,0,0
346653,1,0,0,0,0
346654,0,0,0,0,1
346655,2,1,0,0,0
346656,0,0,0,1,0
346657,0,0,0,0,1
346658,0,0,1,0,0
346659,1,0,0,0,0
346660,0,1,0,0,0
346661,0,0,1,1,1
346662,0,2,0,0,0
346663,1,0,0,0,0
346664,0,0,1,0,0
346665,0,0,0,0,1
346666,0,0,0,0,1
346667,0,0,1,0,0
346668,1,0,0,0,0
346669,0,0,1,0,0
346670,1,0,0,0,0
346671,0,1,0,0,0
346672,0,0,0,0,1
346673,0,0,0,1,0
346674,1,0,0,0,0
346675,0,0,1,0,0
346676,0,0,1,0,0
346677,0,0,1,0,0
346678,0,0,0,0,1
346679,0,0,0,1,0
346680,0,0,0,0,1
346681,1,0,0,1,0
346682,0,0,0,1,0
346683,2,0,0,1,2
346684,0,0,1,0,0
346685,0,0,0,0,1
346686,0,1,0,0,0
346687,0,0,0,0,1
346688,1,0,0,0,0
346689,0,0,0,0,1
346690,0,0,0,0,1
346691,0,0,1,0,2
346692,1,0,0,0,0
346693,0,0,1,0,0
346694,0,0,1,0,0
346695,2,0,0,0,0
346696,0,0,0,1,0
346697,0,0,1,0,0
346698,0,0,0,1,0
346699,0,0,0,0,1
346700,0,0,0,1,0
346701,2,0,0,0,0
346702,1,0,0,0,0
346703,0,0,0,1,0
346704,0,0,0,1,0
346705,0,1,1,0,0
346706,0,0,0,1,0
346707,0,0,0,1,0
346708,1,1,0,1,0
346709,0,0,0,1,0
346710,0,0,1,0,0
346711,0,1,0,0,0
346712,0,0,1,0,0
346713,1,0,0,0,0
346714,0,0,1,0,0
346715,0,0,0,0,1
346716,1,0,0,0,0
346717,0,1,0,0,0
346718,0,0,0,1,0
346719,1,0,0,0,0
346720,0,0,1,0,0
346721,0,0,1,0,0
346722,0,1,0,0,0
346723,0,0,1,0,0
346724,1,0,0,0,1
346725,0,1,0,0,0
346726,0,1,0,0,0
346727,0,0,0,0,1
346728,0,0,1,0,0
346729,0,1,0,0,0
346730,0,1,0,0,0
346731,0,0,0,1,0
346732,2,0,0,0,0
346733,0,0,0,1,0
346734,1,0,0,0,0
346735,0,0,0,1,0
346736,0,0,0,0,1
346737,3,0,0,0,0
346738,0,1,0,0,0
346739,0,1,0,0,0
346740,0,1,0,0,0
346741,0,0,1,0,0
346742,0,1,0,0,0
346743,0,0,0,0,1
346744,0,0,0,1,0
346745,0,1,0,0,0
346746,0,1,0,0,0
346747,0,0,1,0,1
346748,0,1,0,0,0
346749,1,1,0,1,0
346750,0,1,0,0,0
346751,0,0,0,0,1
346752,0,0,1,0,0
346753,0,0,1,0,0
346754,0,0,0,0,1
346755,0,0,1,0,0
346756,0,0,0,1,0
346757,1,0,0,0,0
346758,1,0,0,0,0
346759,0,0,0,0,1
346760,1,0,0,0,0
346761,0,1,0,0,0
346762,0,0,0,1,3
346763,0,1,0,0,0
346764,0,0,0,1,0
346765,0,0,0,0,1
346766,0,0,0,1,0
346767,0,0,0,0,1
346768,0,0,1,0,0
346769,0,0,0,1,0
346770,0,0,1,0,0
346771,1,0,0,0,0
346772,0,0,0,1,0
346773,1,1,1,0,0
346774,0,0,0,0,1
346775,0,1,0,0,0
346776,0,0,1,0,0
346777,0,0,0,1,0
346778,1,0,0,0,0
346779,0,0,0,1,0
346780,0,0,0,1,0
346781,1,0,0,0,0
346782,1,0,0,0,0
346783,0,1,0,0,0
346784,0,0,0,0,1
346785,0,1,0,0,0
346786,0,0,0,2,0
346787,0,0,1,0,0
346788,1,0,0,0,0
346789,0,0,0,1,0
346790,0,0,0,1,0
346791,0,0,1,0,0
346792,0,0,0,0,1
346793,1,0,0,0,0
346794,0,0,0,0,0
346795,0,0,0,1,0
346796,1,0,0,0,0
346797,0,0,0,0,1
346798,0,0,0,1,0
346799,0,0,0,0,1
346800,0,0,0,0,1
346801,0,0,0,1,0
346802,1,0,0,0,0
346803,0,1,1,0,0
346804,0,1,0,0,0
346805,0,0,0,1,0
346806,0,0,1,0,0
346807,0,0,1,0,0
346808,1,0,0,0,0
346809,0,0,1,0,0
346810,1,0,0,0,0
346811,0,1,0,0,0
346812,1,0,0,0,0
346813,2,0,1,1,1
346814,0,1,0,0,0
346815,0,0,0,1,0
346816,0,0,0,0,1
346817,0,0,0,0,1
346818,0,0,0,0,1
